position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
X100_Y300_Z100,0,372.13885498046875,393.0,2801.6699999999996,3000.0,1000.0,393.0,2801.6699999999996,3002.4917966715934,1003.0582690577668,0.0,0.0,2.49179667159342,3.058269057766779
X120_Y300_Z100,0,0.0,1705.7410199066214,701.2843681494055,3000.0,1000.0,1705.0,702.4699999999998,2996.8919421810033,996.8406387941135,-0.7410199066214318,1.1856318505942909,-3.1080578189967127,-3.159361205886512
X130_Y300_Z100,0,0.0,1643.7096643027862,800.5345371155418,3000.0,1000.0,1643.0,801.6699999999996,2998.491901107112,995.6906563095006,-0.7096643027862228,1.1354628844578656,-1.5080988928880288,-4.309343690499418
X130_Y300_Z100,3,304.9532775878906,1648.2981967395372,793.1928852167403,3000.0,1000.0,1649.0,792.0699999999997,2998.491901107112,995.6906563095006,0.7018032604628388,-1.122885216740542,-1.5080988928880288,-4.309343690499418
X130_Y300_Z100,4,126.54015350341797,1648.2981967395372,793.1928852167403,3000.0,1000.0,1649.0,792.0699999999997,3006.4916923745805,1001.8242165932364,0.7018032604628388,-1.122885216740542,6.4916923745804525,1.8242165932364287
X160_Y300_Z100,0,0.0,1455.7820334582425,1101.2187464668118,3000.0,1000.0,1455.0,1102.4699999999998,1682.5259101718746,994.7523851348055,-0.7820334582424948,1.2512535331879917,-1317.4740898281254,-5.247614865194464
X20_Y300_Z100,0,666.088623046875,893.8583992000976,2000.2965612798437,3000.0,1000.0,893.0,2001.6699999999996,3010.4915901921936,994.7523027132456,-0.8583992000975513,1.3734387201559457,10.491590192193598,-5.247697286754374
X20_Y300_Z100,2,898.5670776367188,895.5587573451356,1997.5759882477828,3000.0,1000.0,895.0,1998.4699999999998,3014.543573983692,995.6981411030431,-0.558757345135632,0.8940117522170112,14.543573983692113,-4.301858896956901
X210_Y300_Z100,0,1934.6185302734375,1143.8055987643547,1600.381041977032,3000.0,1000.0,1143.0,1601.6699999999996,2996.8919421810033,996.8406387941135,-0.8055987643547269,1.288958022967563,-3.1080578189967127,-3.159361205886512
X220_Y300_Z100,0,0.0,1081.7781491297424,1699.624961392412,3000.0,1000.0,1081.0,1700.8699999999997,638.552889446979,1001.824583363883,-0.77814912974236,1.2450386075877304,-2361.447110553021,1.8245833638829936
