position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
X140_Y300_Z100,0,4729.388671875,1581.6675715417741,899.8018855331611,3000.0,1000.0,1581.0,900.8699999999994,3000.491847731548,999.3844454304021,-0.667571541774123,1.068114466838324,0.49184773154820505,-0.6155545695978617
X140_Y300_Z100,1,20099.880859375,1583.2033784104267,897.3445945433168,3000.0,1000.0,1583.0,897.6699999999996,2998.4918986577704,999.8636047270405,-0.20337841042669424,0.32540545668280174,-1.5081013422295655,-0.13639527295947573
X140_Y300_Z100,2,12923.25390625,1584.5212662325566,895.2359740279089,3000.0,1000.0,1585.0,894.4699999999998,3000.491847731548,999.3844454304021,0.4787337674433729,-0.7659740279091238,0.49184773154820505,-0.6155545695978617
X150_Y300_Z100,0,10509.1201171875,1519.609359116223,999.095025414043,3000.0,1000.0,1519.0,1000.0699999999997,3000.491847731548,999.3844454304021,-0.6093591162230041,0.9749745859567156,0.49184773154820505,-0.6155545695978617
X150_Y300_Z100,1,20146.228515625,1521.0163264711987,996.8438776460816,3000.0,1000.0,1521.0,996.8699999999999,3000.491847731548,999.3844454304021,-0.016326471198681247,0.026122353918253793,0.49184773154820505,-0.6155545695978617
X150_Y300_Z100,2,7402.61962890625,1522.4044707833648,994.6228467466162,3000.0,1000.0,1523.0,993.6699999999996,3000.491847731548,999.3844454304021,0.5955292166352137,-0.9528467466166148,0.49184773154820505,-0.6155545695978617
X160_Y300_Z100,0,0.0,1455.7820334582425,1101.2187464668118,3000.0,1000.0,1455.0,1102.4699999999998,1682.5259101718746,994.7523851348055,-0.7820334582424948,1.2512535331879917,-1317.4740898281254,-5.247614865194464
X160_Y300_Z100,1,14592.810546875,1457.5266551653174,1098.4273517354918,3000.0,1000.0,1457.0,1099.2699999999995,2998.4918986577704,999.8636047270405,-0.5266551653173792,0.8426482645077158,-1.5081013422295655,-0.13639527295947573
X160_Y300_Z100,2,19978.34375,1458.8115952523463,1096.3714475962456,3000.0,1000.0,1459.0,1096.0699999999997,2998.4918986577704,999.8636047270405,0.18840474765374893,-0.30144759624590733,-1.5081013422295655,-0.13639527295947573
X160_Y300_Z100,3,3820.94384765625,1460.3163417235287,1093.9638532423537,3000.0,1000.0,1461.0,1092.87,3000.491847731548,999.3844454304021,0.6836582764713057,-1.0938532423538163,0.49184773154820505,-0.6155545695978617
X170_Y300_Z100,0,1424.7386474609375,1393.756160672532,1200.4601429239488,3000.0,1000.0,1393.0,1201.6699999999996,3002.4917951109023,1001.2492262057701,-0.7561606725319052,1.2098570760508665,2.4917951109023306,1.2492262057701282
X170_Y300_Z100,1,18510.638671875,1395.4075180742873,1197.81797108114,3000.0,1000.0,1395.0,1198.4699999999998,3000.491847731548,999.3844454304021,-0.4075180742872817,0.6520289188597417,0.49184773154820505,-0.6155545695978617
X170_Y300_Z100,2,16888.74609375,1396.6185176184442,1195.8803718104891,3000.0,1000.0,1397.0,1195.2699999999995,3000.491847731548,999.3844454304021,0.3814823815557702,-0.6103718104895961,0.49184773154820505,-0.6155545695978617
X170_Y300_Z100,3,720.2686767578125,1398.2508368561926,1193.2686610300916,3000.0,1000.0,1399.0,1192.0699999999997,2998.491900178759,998.9052863820217,0.7491631438074364,-1.1986610300918983,-1.5080998212411032,-1.0947136179783001
X180_Y300_Z100,0,4181.22119140625,1331.7205576279277,1299.7171077953153,3000.0,1000.0,1331.0,1300.87,3002.4917951109023,1001.2492262057701,-0.7205576279277466,1.1528922046845764,2.4917951109023306,1.2492262057701282
X180_Y300_Z100,1,20362.560546875,1333.2391486617437,1297.28736214121,3000.0,1000.0,1333.0,1297.6699999999996,3000.491847731548,999.3844454304021,-0.239148661743684,0.38263785878962153,0.49184773154820505,-0.6155545695978617
X180_Y300_Z100,2,14403.396484375,1334.4606363875341,1295.332981779945,3000.0,1000.0,1335.0,1294.4699999999998,3000.491847731548,999.3844454304021,0.5393636124658769,-0.8629817799451303,0.49184773154820505,-0.6155545695978617
X190_Y300_Z100,0,9817.3154296875,1269.6694919181045,1398.9988129310325,3000.0,1000.0,1269.0,1400.0699999999997,3000.491847731548,999.3844454304021,-0.6694919181045407,1.0711870689672196,0.49184773154820505,-0.6155545695978617
X190_Y300_Z100,1,21918.9375,1271.0195280604376,1396.8387551032997,3000.0,1000.0,1271.0,1396.8699999999997,3000.491847731548,999.3844454304021,-0.019528060437551176,0.031244896699945457,0.49184773154820505,-0.6155545695978617
X190_Y300_Z100,2,8661.4794921875,1272.3435057411332,1394.7203908141867,3000.0,1000.0,1273.0,1393.6699999999996,3000.491847731548,999.3844454304021,0.6564942588668146,-1.0503908141870397,0.49184773154820505,-0.6155545695978617
X200_Y300_Z100,0,15272.81640625,1207.5929223704652,1498.3213242072554,3000.0,1000.0,1207.0,1499.2699999999998,2998.4918986577704,999.8636047270405,-0.5929223704652031,0.948675792744325,-1.5081013422295655,-0.13639527295947573
X200_Y300_Z100,1,20694.162109375,1208.7750490638102,1496.4299214979033,3000.0,1000.0,1209.0,1496.0699999999997,2998.4918986577704,999.8636047270405,0.2249509361897708,-0.35992149790354233,-1.5081013422295655,-0.13639527295947573
