position,blob_index,val,reason,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z
X220_Y300_Z100,0,0.0,far_distance,1083.540625,1696.8049999999996,3000.0,1000.0,1081.0,1700.8699999999997,638.552889446979,1001.824583363883
X250_Y300_Z100,2,898.5670776367188,far_distance,896.040625,1996.8049999999998,3000.0,1000.0,895.0,1998.4699999999998,3014.543573983692,995.6981411030431
X340_Y300_Z100,1,26729.673828125,far_distance,333.540625,2896.805,3000.0,1000.0,333.0,2897.6699999999996,3002.8003471430493,1001.471000189072
X90_Y300_Z100,4,0.0,far_distance,1896.040625,396.8049999999994,3000.0,1000.0,1899.0,392.0699999999997,1702.5253923436173,1001.4610174520307
