position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
depo001_x2797mm,0,23016.82421875,395.8430713871527,2797.1210857805554,3000.0,1000.0,395.0,2798.47,2998.4918993513984,1001.4609370165326,-0.8430713871526905,1.3489142194443957,-1.5081006486016122,1.4609370165326254
depo002_x2697mm,0,16558.310546875,457.89040255802786,2697.845355907155,3000.0,1000.0,457.0,2699.2699999999995,2998.4918993513984,1001.4609370165326,-0.8904025580278585,1.4246440928445736,-1.5081006486016122,1.4609370165326254
depo003_x2597mm,1,24126.751953125,521.0393176824585,2596.807091708066,3000.0,1000.0,521.0,2596.87,2997.3833657706105,1001.4710015675637,-0.03931768245854528,0.06290829193403624,-2.616634229389547,1.4710015675636896
depo003_x2597mm,2,7832.30419921875,522.1011433596623,2595.10817062454,3000.0,1000.0,523.0,2593.6699999999996,3002.8003471430493,1001.471000189072,0.8988566403377263,-1.438170624540362,2.8003471430492937,1.471000189072015
depo004_x2497mm,1,22291.39453125,583.4529852500331,2496.945223599947,3000.0,1000.0,583.0,2497.6699999999996,3002.8003471430493,1001.471000189072,-0.4529852500330662,0.7247764000526331,2.8003471430492937,1.471000189072015
depo004_x2497mm,2,12945.166015625,584.1909938854809,2495.7644097832303,3000.0,1000.0,585.0,2494.47,3002.8003471430493,1001.471000189072,0.809006114519093,-1.2944097832305488,2.8003471430492937,1.471000189072015
depo005_x2397mm,0,18727.4765625,645.6697931391327,2397.3983309773876,3000.0,1000.0,645.0,2398.47,3002.8003471430493,1001.471000189072,-0.6697931391327074,1.071669022612241,2.8003471430492937,1.471000189072015
depo005_x2397mm,1,16473.521484375,646.3597404439721,2396.2944152896443,3000.0,1000.0,647.0,2395.2699999999995,3002.8003471430493,1001.471000189072,0.6402595560278996,-1.0244152896448213,2.8003471430492937,1.471000189072015
depo006_x2297mm,0,14707.34765625,707.7660867405338,2298.0442612151455,3000.0,1000.0,707.0,2299.2699999999995,3002.8003471430493,1001.471000189072,-0.7660867405337513,1.225738784854002,2.8003471430492937,1.471000189072015
depo006_x2297mm,1,19255.169921875,708.650057481863,2296.629908029019,3000.0,1000.0,709.0,2296.0699999999997,3002.8003471430493,1001.471000189072,0.34994251813702704,-0.5599080290194252,2.8003471430492937,1.471000189072015
depo007_x2197mm,0,10536.9833984375,769.8139253388715,2198.7677194578055,3000.0,1000.0,769.0,2200.0699999999997,3000.491847731548,999.3844454304021,-0.8139253388715133,1.3022805421942394,0.49184773154820505,-0.6155545695978617
depo007_x2197mm,2,8973.3515625,772.1954930445812,2194.9572111286698,3000.0,1000.0,773.0,2193.6699999999996,3000.491847731548,999.3844454304021,0.8045069554187876,-1.287211128670151,0.49184773154820505,-0.6155545695978617
depo008_x2097mm,0,5547.3974609375,831.8411671919714,2099.5241324928456,3000.0,1000.0,831.0,2100.87,3000.491847731548,999.3844454304021,-0.8411671919714081,1.345867507154253,0.49184773154820505,-0.6155545695978617
depo010_x1897mm,2,3578.18212890625,960.1983657309819,1894.1526148304288,3000.0,1000.0,961.0,1892.8699999999997,3000.491847731548,999.3844454304021,0.8016342690181091,-1.282614830429111,0.49184773154820505,-0.6155545695978617
depo013_x1597mm,0,1572.64599609375,1143.8055987643547,1600.381041977032,3000.0,1000.0,1143.0,1601.6699999999996,3000.491847731548,999.3844454304021,-0.8055987643547269,1.288958022967563,0.49184773154820505,-0.6155545695978617
depo013_x1597mm,3,773.4425048828125,1148.2003321740056,1593.3494685215908,3000.0,1000.0,1149.0,1592.0699999999997,3002.4917968053264,998.9052861337641,0.7996678259944474,-1.2794685215910704,2.4917968053264303,-1.0947138662359066
depo021_x797mm,3,0.0,1648.2981967395372,793.1928852167403,3000.0,1000.0,1649.0,792.0699999999997,2998.983325970942,1001.4710010969735,0.7018032604628388,-1.122885216740542,-1.0166740290578673,1.4710010969735094
depo025_x397mm,3,1111.4761962890625,1898.342510554344,393.1219831130493,3000.0,1000.0,1899.0,392.0699999999997,3004.891733999436,1000.6742350498043,0.6574894456559832,-1.0519831130495731,4.891733999435928,0.6742350498043379
depo029_x-3mm,3,240.12081909179688,2148.383726355375,-6.943962168600592,3000.0,1000.0,2149.0,-7.930000000000291,2996.8919421810033,996.8406387941135,0.6162736446249255,-0.9860378313996989,-3.1080578189967127,-3.159361205886512
depo030_x-103mm,0,146.29371643066406,2205.664768865258,-98.59363018441309,3000.0,1000.0,2205.0,-97.5300000000002,2996.891940746302,1000.6742362888945,-0.6647688652578836,1.0636301844128866,-3.1080592536977747,0.6742362888944626
