position,blob_index,val,reason,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z
depo000_x2897mm,1,27151.923828125,far_distance,333.540625,2896.805,3000.0,1000.0,333.0,2897.6699999999996,3002.8003471430493,1001.471000189072
depo001_x2797mm,1,20931.70703125,far_distance,396.040625,2796.805,3000.0,1000.0,397.0,2795.2699999999995,3002.8003471430493,1001.471000189072
