position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
depo000_x2898mm,0,18720.115234375,331.0,2900.87,3000.0,1000.7070922851562,331.0,2900.87,2998.4918993513984,1001.4609370165326,0.0,0.0,-1.5081006486016122,0.7538447313763754
depo000_x2898mm,1,57358.41796875,333.0986875,2897.5121,3000.0,1000.7070922851562,333.0,2897.6699999999996,2998.4918993513984,1001.4609370165326,-0.09868749999998272,0.1578999999996995,-1.5081006486016122,0.7538447313763754
depo001_x2897mm,0,22413.91015625,334.02139376893797,2896.035769969699,3000.0,1000.0,335.0,2894.47,2998.4918993513984,1001.4609370165326,0.9786062310620309,-1.5657699696989766,-1.5081006486016122,1.4609370165326254
depo002_x2798mm,0,8521.1103515625,393.0,2801.6699999999996,3000.0,1000.7070922851562,393.0,2801.6699999999996,2998.983325970942,1001.4710010969735,0.0,0.0,-1.0166740290578673,0.7639088118172594
depo002_x2798mm,1,51091.421875,395.5836513325554,2797.5361578679112,3000.0,1000.7070922851562,395.0,2798.47,2997.3833657706105,1001.4710015675637,-0.5836513325554051,0.9338421320885573,-2.616634229389547,0.7639092824074396
depo003_x2797mm,0,35035.421875,396.1865090458307,2796.571585526671,3000.0,1000.0,397.0,2795.2699999999995,2997.3833657706105,1001.4710015675637,0.8134909541693105,-1.3015855266712606,-2.616634229389547,1.4710015675636896
depo004_x2698mm,0,2848.75146484375,455.0,2702.47,3000.0,1000.7070922851562,455.0,2702.47,3002.491796644126,998.5356619277754,0.0,0.0,2.491796644126225,-2.171430357380814
depo004_x2698mm,1,41986.5546875,457.8055870952988,2697.9810606475216,3000.0,1000.7070922851562,457.0,2699.2699999999995,3000.491847731548,999.3844454304023,-0.8055870952987902,1.2889393524778825,0.49184773154820505,-1.322646854753998
depo005_x2697mm,0,44550.55859375,458.55988089622247,2696.7741905660437,3000.0,1000.0,459.0,2696.0699999999997,2997.3833657706105,1001.4710015675637,0.4401191037775334,-0.7041905660439625,-2.616634229389547,1.4710015675636896
depo005_x2697mm,1,3999.100341796875,460.0519298550558,2694.3869122319106,3000.0,1000.0,461.0,2692.87,2998.4918974255406,1001.4860964551447,0.9480701449442108,-1.5169122319107373,-1.5081025744593717,1.4860964551446614
depo006_x2598mm,0,29638.779296875,519.8628989435466,2598.6893616903253,3000.0,1000.7070922851562,519.0,2600.0699999999997,2997.3833657706105,1001.4710015675637,-0.862898943546611,1.3806383096743957,-2.616634229389547,0.7639092824074396
depo007_x2597mm,0,49200.39453125,521.0393176824585,2596.807091708066,3000.0,1000.0,521.0,2596.87,2997.3833657706105,1001.4710015675637,-0.03931768245854528,0.06290829193403624,-2.616634229389547,1.4710015675636896
depo007_x2597mm,1,10761.37890625,522.1011433596623,2595.10817062454,3000.0,1000.0,523.0,2593.6699999999996,2998.4918993513984,1001.4609370165326,0.8988566403377263,-1.438170624540362,-1.5081006486016122,1.4609370165326254
depo008_x2498mm,0,18021.494140625,581.8850130248278,2499.453979160275,3000.0,1000.7070922851562,581.0,2500.87,2998.4918993513984,1001.4609370165326,-0.8850130248277992,1.4160208397247516,-1.5081006486016122,0.7538447313763754
