position,blob_index,val,depo_t,depo_x,depo_y,depo_z,blob_t,blob_x,blob_y,blob_z,dt,dx,dy,dz
depo013_x1597mm,0,1572.64599609375,1143.0,1601.6699999999996,3000.0,1000.0,1143.0,1601.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo013_x1597mm,1,18852.96484375,1145.0,1598.4699999999998,3000.0,1000.0,1145.0,1598.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo013_x1597mm,2,16955.62890625,1147.0,1595.2699999999998,3000.0,1000.0,1147.0,1595.2699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo013_x1597mm,3,773.4425048828125,1149.0,1592.0699999999997,3000.0,1000.0,1149.0,1592.0699999999997,3002.4917968053264,998.9052861337641,0.0,0.0,2.4917968053264303,-1.0947138662359066
depo014_x1497mm,1,16046.08984375,1207.0,1499.2699999999998,3000.0,1000.0,1207.0,1499.2699999999998,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo014_x1497mm,2,19885.13671875,1209.0,1496.0699999999997,3000.0,1000.0,1209.0,1496.0699999999997,3002.4917968053264,998.905286133764,0.0,0.0,2.4917968053264303,-1.0947138662360203
depo014_x1497mm,3,3186.9501953125,1211.0,1492.8699999999997,3000.0,1000.0,1211.0,1492.8699999999997,3002.4917951109023,1001.2492262057701,0.0,0.0,2.4917951109023306,1.2492262057701282
depo015_x1397mm,0,9779.9697265625,1269.0,1400.0699999999997,3000.0,1000.0,1269.0,1400.0699999999997,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo015_x1397mm,1,21469.623046875,1271.0,1396.8699999999997,3000.0,1000.0,1271.0,1396.8699999999997,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo015_x1397mm,2,7174.3193359375,1273.0,1393.6699999999996,3000.0,1000.0,1273.0,1393.6699999999996,2998.4918986577704,999.8636047270405,0.0,0.0,-1.5081013422295655,-0.13639527295947573
depo016_x1297mm,0,5397.19921875,1331.0,1300.87,3000.0,1000.0,1331.0,1300.87,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo016_x1297mm,1,21241.8125,1333.0,1297.6699999999996,3000.0,1000.0,1333.0,1297.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo016_x1297mm,2,12556.0078125,1335.0,1294.4699999999998,3000.0,1000.0,1335.0,1294.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo017_x1197mm,0,1764.72119140625,1393.0,1201.6699999999996,3000.0,1000.0,1393.0,1201.6699999999996,2998.491900178759,998.9052863820217,0.0,0.0,-1.5080998212411032,-1.0947136179783001
depo017_x1197mm,1,18831.5,1395.0,1198.4699999999998,3000.0,1000.0,1395.0,1198.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo017_x1197mm,2,15965.154296875,1397.0,1195.2699999999995,3000.0,1000.0,1397.0,1195.2699999999995,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo017_x1197mm,3,282.8504333496094,1399.0,1192.0699999999997,3000.0,1000.0,1399.0,1192.0699999999997,3002.491796644126,998.5356619277754,0.0,0.0,2.491796644126225,-1.4643380722245638
depo018_x1097mm,1,16010.1640625,1457.0,1099.2699999999995,3000.0,1000.0,1457.0,1099.2699999999995,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo018_x1097mm,2,19009.6484375,1459.0,1096.0699999999997,3000.0,1000.0,1459.0,1096.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo018_x1097mm,3,3021.25,1461.0,1092.87,3000.0,1000.0,1461.0,1092.87,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo019_x997mm,0,9739.9375,1519.0,1000.0699999999997,3000.0,1000.0,1519.0,1000.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo019_x997mm,1,20044.09765625,1521.0,996.8699999999999,3000.0,1000.0,1521.0,996.8699999999999,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo019_x997mm,2,7310.8984375,1523.0,993.6699999999996,3000.0,1000.0,1523.0,993.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo020_x897mm,0,5319.041015625,1581.0,900.8699999999994,3000.0,1000.0,1581.0,900.8699999999994,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo020_x897mm,1,19947.529296875,1583.0,897.6699999999996,3000.0,1000.0,1583.0,897.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo020_x897mm,2,11502.419921875,1585.0,894.4699999999998,3000.0,1000.0,1585.0,894.4699999999998,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo021_x797mm,0,1562.4423828125,1643.0,801.6699999999996,3000.0,1000.0,1643.0,801.6699999999996,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo021_x797mm,1,17603.697265625,1645.0,798.4699999999998,3000.0,1000.0,1645.0,798.4699999999998,3000.491847731548,999.3844454304023,0.0,0.0,0.49184773154820505,-0.615554569597748
depo021_x797mm,2,16126.05078125,1647.0,795.2699999999995,3000.0,1000.0,1647.0,795.2699999999995,3000.491847731548,999.3844454304023,0.0,0.0,0.49184773154820505,-0.615554569597748
depo021_x797mm,3,0.0,1649.0,792.0699999999997,3000.0,1000.0,1649.0,792.0699999999997,2998.983325970942,1001.4710010969735,0.0,0.0,-1.0166740290578673,1.4710010969735094
depo022_x697mm,0,14498.9033203125,1707.0,699.2699999999995,3000.0,1000.0,1707.0,699.2699999999995,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
depo022_x697mm,1,18416.123046875,1709.0,696.0699999999997,3000.0,1000.0,1709.0,696.0699999999997,3000.491847731548,999.3844454304021,0.0,0.0,0.49184773154820505,-0.6155545695978617
