region,n,x_min,x_max,x_mean,x_std,y_mean,y_std,z_mean,z_std,dx_mean,dx_std
y107p453_z115p237,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1152.3649,0.00012207031,100.0,0.0
y107p453_z12p715,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,127.152,0.0,100.0,0.0
y107p453_z140p867,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1408.668,0.0,100.0,0.0
y107p453_z166p497,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1664.972,0.0,100.0,0.0
y107p453_z192p127,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,1921.2749,0.00012207031,100.0,0.0
y107p453_z217p758,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,2177.578,0.0,100.0,0.0
y107p453_z38p346,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,383.455,0.0,100.0,0.0
y107p453_z63p976,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,639.758,0.0,100.0,0.0
y107p453_z89p606,34,100.0,3400.0,1750.0,981.07086,1074.5328,0.00012207031,896.062,0.0,100.0,0.0
y174p016_z115p237,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,1152.3649,0.00012207031,100.0,0.0
y174p016_z12p715,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,127.152,0.0,100.0,0.0
y174p016_z140p867,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,1408.668,0.0,100.0,0.0
y174p016_z166p497,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,1664.972,0.0,100.0,0.0
y174p016_z192p127,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,1921.2749,0.00012207031,100.0,0.0
y174p016_z217p758,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,2177.578,0.0,100.0,0.0
y174p016_z38p346,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,383.455,0.0,100.0,0.0
y174p016_z63p976,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,639.758,0.0,100.0,0.0
y174p016_z89p606,34,100.0,3400.0,1750.0,981.07086,1740.156,0.0,896.062,0.0,100.0,0.0
y240p578_z115p237,34,100.0,3400.0,1750.0,981.07086,2405.7783,0.00024414062,1152.3649,0.00012207031,100.0,0.0
y240p578_z12p715,34,100.0,3400.0,1750.0,981.07086,2405.7783,0.00024414062,127.152,0.0,100.0,0.0
y240p578_z140p867,34,100.0,3400.0,1750.0,981.07086,2405.7783,0.00024414062,1408.668,0.0,100.0,0.0
y240p578_z166p497,34,100.0,3400.0,1750.0,981.07086,2405.7783,0.00024414062,1664.972,0.0,100.0,0.0
y240p578_z192p127,34,100.0,3400.0,1750.0,981.07086,2405.7783,0.00024414062,1921.2749,0.00012207031,100.0,0.0
