y_lo,y_hi,z_lo,z_hi,total,outlier,rate
76.1,675.16,1383.038,1844.384,408,71,0.17401960784313725
4269.52,4868.58,460.346,921.692,408,63,0.15441176470588236
2472.3399999999997,3071.3999999999996,460.346,921.692,408,62,0.15196078431372548
4269.52,4868.58,-1.0,460.346,408,61,0.14950980392156862
5467.639999999999,6066.7,1383.038,1844.384,408,61,0.14950980392156862
1274.2199999999998,1873.2799999999997,1383.038,1844.384,408,60,0.14705882352941177
5467.639999999999,6066.7,-1.0,460.346,408,59,0.14460784313725492
2472.3399999999997,3071.3999999999996,921.692,1383.038,408,58,0.14215686274509803
2472.3399999999997,3071.3999999999996,-1.0,460.346,408,56,0.13725490196078433
1274.2199999999998,1873.2799999999997,460.346,921.692,408,51,0.125
5467.639999999999,6066.7,460.346,921.692,408,49,0.12009803921568628
76.1,675.16,1844.384,2305.73,408,48,0.11764705882352941
76.1,675.16,-1.0,460.346,408,46,0.11274509803921569
76.1,675.16,460.346,921.692,408,46,0.11274509803921569
3071.3999999999996,3670.4599999999996,1383.038,1844.384,408,46,0.11274509803921569
2472.3399999999997,3071.3999999999996,1844.384,2305.73,408,46,0.11274509803921569
1873.2799999999997,2472.3399999999997,1844.384,2305.73,408,43,0.1053921568627451
4269.52,4868.58,1383.038,1844.384,408,41,0.10049019607843138
4868.58,5467.639999999999,1844.384,2305.73,408,41,0.10049019607843138
1274.2199999999998,1873.2799999999997,-1.0,460.346,408,40,0.09803921568627451
1274.2199999999998,1873.2799999999997,921.692,1383.038,408,40,0.09803921568627451
3071.3999999999996,3670.4599999999996,921.692,1383.038,408,40,0.09803921568627451
4269.52,4868.58,1844.384,2305.73,408,40,0.09803921568627451
3670.4599999999996,4269.52,-1.0,460.346,408,38,0.09313725490196079
1873.2799999999997,2472.3399999999997,-1.0,460.346,408,37,0.09068627450980392
4868.58,5467.639999999999,-1.0,460.346,408,37,0.09068627450980392
3670.4599999999996,4269.52,921.692,1383.038,408,37,0.09068627450980392
4269.52,4868.58,921.692,1383.038,408,37,0.09068627450980392
3670.4599999999996,4269.52,1383.038,1844.384,408,36,0.08823529411764706
4868.58,5467.639999999999,1383.038,1844.384,408,36,0.08823529411764706
5467.639999999999,6066.7,1844.384,2305.73,408,36,0.08823529411764706
76.1,675.16,921.692,1383.038,408,35,0.0857843137254902
5467.639999999999,6066.7,921.692,1383.038,408,35,0.0857843137254902
3670.4599999999996,4269.52,460.346,921.692,408,34,0.08333333333333333
1873.2799999999997,2472.3399999999997,921.692,1383.038,408,34,0.08333333333333333
2472.3399999999997,3071.3999999999996,1383.038,1844.384,408,34,0.08333333333333333
1274.2199999999998,1873.2799999999997,1844.384,2305.73,408,34,0.08333333333333333
4868.58,5467.639999999999,460.346,921.692,408,33,0.08088235294117647
675.16,1274.2199999999998,921.692,1383.038,408,33,0.08088235294117647
4868.58,5467.639999999999,921.692,1383.038,408,32,0.0784313725490196
3071.3999999999996,3670.4599999999996,1844.384,2305.73,408,32,0.0784313725490196
1873.2799999999997,2472.3399999999997,460.346,921.692,408,30,0.07352941176470588
3071.3999999999996,3670.4599999999996,-1.0,460.346,408,29,0.07107843137254902
1873.2799999999997,2472.3399999999997,1383.038,1844.384,408,29,0.07107843137254902
3670.4599999999996,4269.52,1844.384,2305.73,408,29,0.07107843137254902
3071.3999999999996,3670.4599999999996,460.346,921.692,408,28,0.06862745098039216
675.16,1274.2199999999998,1383.038,1844.384,408,27,0.0661764705882353
675.16,1274.2199999999998,460.346,921.692,408,25,0.061274509803921566
675.16,1274.2199999999998,-1.0,460.346,408,24,0.058823529411764705
675.16,1274.2199999999998,1844.384,2305.73,408,21,0.051470588235294115
