region,n,x_min,x_max,x_mean,x_std,y_mean,y_std,z_mean,z_std,dx_mean,dx_std
y104p957_z115p237,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1152.3649,0.00012207031,100.0,0.0
y104p957_z130p615,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1306.1471,0.00012207031,100.0,0.0
y104p957_z145p993,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1459.929,0.0,100.0,0.0
y104p957_z161p371,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1613.711,0.0,100.0,0.0
y104p957_z176p749,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1767.493,0.0,100.0,0.0
y104p957_z192p127,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,1921.2749,0.00012207031,100.0,0.0
y104p957_z207p506,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,2075.0566,0.00024414062,100.0,0.0
y104p957_z222p884,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,2228.8389,0.00024414062,100.0,0.0
y104p957_z22p967,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,229.67299,1.5258789e-05,100.0,0.0
y104p957_z38p346,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,383.455,0.0,100.0,0.0
y104p957_z53p724,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,537.23694,6.1035156e-05,100.0,0.0
y104p957_z69p102,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,691.01904,6.1035156e-05,100.0,0.0
y104p957_z7p589,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,75.89101,7.6293945e-06,100.0,0.0
y104p957_z84p480,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,844.801,0.0,100.0,0.0
y104p957_z99p858,34,100.0,3400.0,1750.0,981.07086,1049.5719,0.00012207031,998.58295,6.1035156e-05,100.0,0.0
y119p934_z115p237,34,100.0,3400.0,1750.0,981.07086,1199.3369,0.00012207031,1152.3649,0.00012207031,100.0,0.0
y119p934_z130p615,34,100.0,3400.0,1750.0,981.07086,1199.3369,0.00012207031,1306.1471,0.00012207031,100.0,0.0
y119p934_z145p993,34,100.0,3400.0,1750.0,981.07086,1199.3369,0.00012207031,1459.929,0.0,100.0,0.0
y119p934_z161p371,34,100.0,3400.0,1750.0,981.07086,1199.3369,0.00012207031,1613.711,0.0,100.0,0.0
y119p934_z176p749,34,100.0,3400.0,1750.0,981.07086,1199.3369,0.00012207031,1767.493,0.0,100.0,0.0
