position,depo_index,blob_index,val,depo_x,depo_y,depo_z,blob_x,blob_y,blob_z,dx,dy,dz
depo028_x2000mm,28,0,0.0,2003.4506579983613,3000.0,1000.0,2004.7067999999997,3002.4917966715934,1003.0582690577668,1.256142001638409,2.49179667159342,3.058269057766779
depo053_x400mm,53,2,0.0,396.09528386832835,3000.0,1000.0,395.1068,2070.515881757927,1001.8243615667691,-0.9884838683283306,-929.4841182420728,1.8243615667690847
depo056_x201mm,56,0,0.0,205.27798052127991,3000.0,1000.7070922851562,206.30679999999984,2999.600433101684,996.4874216214496,1.0288194787199245,-0.3995668983161522,-4.219670663706665
