position,depo_index,blob_index,val,depo_x,depo_y,depo_z,blob_x,blob_y,blob_z,dx,dy,dz
depo000_x3401mm,0,0,18720.115234375,3401.5381109973882,3000.0,1000.7070922851562,3403.1068,2998.4918993513984,1001.4609370165326,1.5686890026117908,-1.5081006486016122,0.7538447313763754
depo001_x3400mm,1,0,57358.41796875,3400.0049999999997,3000.0,1000.0,3399.9067999999997,2998.4918993513984,1001.4609370165326,-0.09819999999990614,-1.5081006486016122,1.4609370165326254
depo001_x3400mm,1,1,22413.91015625,3396.7068,3000.0,1000.0,3396.7068,2998.4918993513984,1001.4609370165326,0.0,-1.5081006486016122,1.4609370165326254
depo002_x3301mm,2,0,8521.1103515625,3302.3744781932364,3000.0,1000.7070922851562,3303.9067999999997,2998.983325970942,1001.4710010969735,1.5323218067633206,-1.0166740290578673,0.7639088118172594
depo002_x3301mm,2,1,51091.421875,3300.712099655763,3000.0,1000.7070922851562,3300.7068,2997.3833657706105,1001.4710015675637,-0.005299655762883049,-2.616634229389547,0.7639092824074396
depo003_x3300mm,3,0,35035.421875,3298.999797789515,3000.0,1000.0,3297.5067999999997,2997.3833657706105,1001.4710015675637,-1.492997789515357,-2.616634229389547,1.4710015675636896
depo004_x3201mm,4,0,2848.75146484375,3203.187819485501,3000.0,1000.7070922851562,3204.7068,3002.491796644126,998.5356619277754,1.5189805144987076,2.491796644126225,-2.171430357380814
depo004_x3201mm,4,1,41986.5546875,3200.751419108985,3000.0,1000.7070922851562,3201.5067999999997,3000.491847731548,999.3844454304023,0.7553808910147382,0.49184773154820505,-1.322646854753998
depo005_x3200mm,5,0,44550.55859375,3199.576880780945,3000.0,1000.0,3198.3068,2997.3833657706105,1001.4710015675637,-1.2700807809451362,-2.616634229389547,1.4710015675636896
depo005_x3200mm,5,1,3999.100341796875,3195.1068,3000.0,1000.0,3195.1068,2998.4918974255406,1001.4860964551447,0.0,-1.5081025744593717,1.4860964551446614
depo006_x3101mm,6,0,29638.779296875,3101.143400766116,3000.0,1000.7070922851562,3102.3068,2997.3833657706105,1001.4710015675637,1.1633992338838652,-2.616634229389547,0.7639092824074396
depo007_x3100mm,7,0,49200.39453125,3099.899492538579,3000.0,1000.0,3099.1067999999996,2997.3833657706105,1001.4710015675637,-0.7926925385795585,-2.616634229389547,1.4710015675636896
depo007_x3100mm,7,1,10761.37890625,3097.3970584833605,3000.0,1000.0,3095.9067999999997,2998.4918993513984,1001.4609370165326,-1.4902584833607762,-1.5081006486016122,1.4609370165326254
depo008_x3001mm,8,0,18021.494140625,3001.801628593627,3000.0,1000.7070922851562,3003.1067999999996,2998.4918993513984,1001.4609370165326,1.305171406372665,-1.5081006486016122,0.7538447313763754
depo009_x3000mm,9,0,49817.02734375,2999.997405678664,3000.0,1000.0,2999.9067999999997,2997.3833657706105,1001.4710015675637,-0.09060567866436031,-2.616634229389547,1.4710015675636896
depo009_x3000mm,9,1,20168.712890625,2998.1178961372207,3000.0,1000.0,2996.7068,2997.3833657706105,1001.4710015675637,-1.4110961372207385,-2.616634229389547,1.4710015675636896
depo010_x2901mm,10,0,8392.6474609375,2902.541916233166,3000.0,1000.7070922851562,2903.9067999999997,2994.183450019061,1001.4710013948827,1.3648837668338274,-5.816549980938817,0.7639091097264554
depo010_x2901mm,10,1,44322.01171875,2900.7114172753327,3000.0,1000.7070922851562,2900.7068,2997.3833657706105,1001.4710015675637,-0.00461727533274825,-2.616634229389547,0.7639092824074396
depo011_x2900mm,11,0,31403.013671875,2898.7818179087153,3000.0,1000.0,2897.5067999999997,2997.3833657706105,1001.4710015675637,-1.275017908715654,-2.616634229389547,1.4710015675636896
depo012_x2801mm,12,0,2479.66064453125,2803.3106977059742,3000.0,1000.7070922851562,2804.7068,3006.491692604533,1001.4609365200172,1.3961022940256953,6.491692604533,0.7538442348609351
depo012_x2801mm,12,1,36244.5234375,2800.9076791404846,3000.0,1000.7070922851562,2801.5067999999997,2998.4918993513984,1001.4609370165326,0.5991208595150965,-1.5081006486016122,0.7538447313763754
depo013_x2800mm,13,0,38253.140625,2799.3401335924186,3000.0,1000.0,2798.3068,2998.4918993513984,1001.4609370165326,-1.033333592418785,-1.5081006486016122,1.4609370165326254
depo013_x2800mm,13,1,5722.87744140625,2796.549260919128,3000.0,1000.0,2795.1067999999996,2998.4918974255406,1001.4860964551447,-1.4424609191282798,-1.5081025744593717,1.4860964551446614
depo014_x2701mm,14,0,29225.341796875,2701.3551320765087,3000.0,1000.7070922851562,2702.3068,2998.4918986577704,999.8636047270405,0.9516679234911862,-1.5081013422295655,-0.8434875581157257
depo015_x2700mm,15,0,47320.22265625,2699.7324091812543,3000.0,1000.0,2699.1067999999996,2998.4918986577704,999.8636047270405,-0.6256091812547311,-1.5081013422295655,-0.13639527295947573
depo015_x2700mm,15,1,11142.6826171875,2697.2818171591293,3000.0,1000.0,2695.9067999999997,2998.4918986577704,999.8636047270405,-1.3750171591295839,-1.5081013422295655,-0.13639527295947573
depo016_x2601mm,16,0,18653.650390625,2601.9747359409157,3000.0,1000.7070922851562,2603.1067999999996,3000.491847731548,999.3844454304023,1.1320640590838593,0.49184773154820505,-1.322646854753998
depo017_x2600mm,17,0,48155.0703125,2599.9769684639195,3000.0,1000.0,2599.9067999999997,3000.491847731548,999.3844454304023,-0.07016846391979925,0.49184773154820505,-0.615554569597748
depo017_x2600mm,17,1,20413.728515625,2597.9805830430514,3000.0,1000.0,2596.7068,3000.491847731548,999.3844454304023,-1.2737830430514805,0.49184773154820505,-0.615554569597748
depo018_x2501mm,18,0,9073.0791015625,2502.6769261104673,3000.0,1000.7070922851562,2503.9067999999997,3000.491847731548,999.3844454304021,1.2298738895324277,0.49184773154820505,-1.3226468547541117
depo018_x2501mm,18,1,44653.48046875,2500.710358004684,3000.0,1000.7070922851562,2500.7068,2998.4918986577704,999.8636047270405,-0.0035580046842369484,-1.5081013422295655,-0.8434875581157257
depo019_x2500mm,19,0,32130.2265625,2498.622928374306,3000.0,1000.0,2497.5067999999997,2998.4918986577704,999.8636047270405,-1.1161283743062995,-1.5081013422295655,-0.13639527295947573
depo020_x2401mm,20,0,3433.385498046875,2403.418577726678,3000.0,1000.7070922851562,2404.7068,3005.77239488,1001.9276164080724,1.288222273321935,5.772394879999865,1.2205241229161174
depo020_x2401mm,20,1,37224.63671875,2401.0318299264545,3000.0,1000.7070922851562,2401.5068,2998.4918986577704,999.8636047270405,0.47497007354559173,-1.5081013422295655,-0.8434875581157257
depo021_x2400mm,21,0,39060.46484375,2399.1748460270655,3000.0,1000.0,2398.3068,2998.4918986577704,999.8636047270405,-0.8680460270657022,-1.5081013422295655,-0.13639527295947573
depo021_x2400mm,21,1,5474.87109375,2396.460517594778,3000.0,1000.0,2395.1067999999996,3000.0918580475554,1000.6742353477136,-1.3537175947785727,0.09185804755543359,0.6742353477136476
depo022_x2301mm,22,0,28678.005859375,2301.5092004416438,3000.0,1000.7070922851562,2302.3068,2998.4918986577704,999.8636047270405,0.7975995583560689,-1.5081013422295655,-0.8434875581157257
depo023_x2300mm,23,0,44372.1484375,2299.6088317330946,3000.0,1000.0,2299.1067999999996,3000.491847731548,999.3844454304023,-0.5020317330950093,0.49184773154820505,-0.615554569597748
depo023_x2300mm,23,1,12613.2490234375,2297.179159371799,3000.0,1000.0,2295.9067999999997,3000.491847731548,999.3844454304021,-1.2723593717992117,0.49184773154820505,-0.6155545695978617
depo024_x2201mm,24,0,17789.578125,2202.1134639131615,3000.0,1000.7070922851562,2203.1067999999996,2998.4918986577704,999.8636047270405,0.9933360868380987,-1.5081013422295655,-0.8434875581157257
depo025_x2200mm,25,0,44866.2109375,2199.9619354938527,3000.0,1000.0,2199.9067999999997,2998.4918986577704,999.8636047270405,-0.05513549385295846,-1.5081013422295655,-0.13639527295947573
depo025_x2200mm,25,1,22095.544921875,2197.862600646821,3000.0,1000.0,2196.7068,2998.4918986577704,999.8636047270405,-1.1558006468212625,-1.5081013422295655,-0.13639527295947573
